source,productioncenter,domain,timestamp,year,month,day,hour,minute,second,id,latitude,longitude,coordinate,type,region,level,description,domain2,tags,name,ns1:lang,id3,description4,type5,type6,h,datetime,day7,value,unit
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501238,-6.925064,109.832382,109.832382 -6.925064,land,,1,Batang,Jawa Tengah,,,,weather,Weather,hourly,hourly,66,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501239,-6.950000002,111.4167,111.4167 -6.950000002,land,,1,Blora,Jawa Tengah,,,,weather,Weather,hourly,hourly,0,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501239,-6.950000002,111.4167,111.4167 -6.950000002,land,,1,Blora,Jawa Tengah,,,,weather,Weather,hourly,hourly,6,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501239,-6.950000002,111.4167,111.4167 -6.950000002,land,,1,Blora,Jawa Tengah,,,,weather,Weather,hourly,hourly,12,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501239,-6.950000002,111.4167,111.4167 -6.950000002,land,,1,Blora,Jawa Tengah,,,,weather,Weather,hourly,hourly,18,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501239,-6.950000002,111.4167,111.4167 -6.950000002,land,,1,Blora,Jawa Tengah,,,,weather,Weather,hourly,hourly,24,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501239,-6.950000002,111.4167,111.4167 -6.950000002,land,,1,Blora,Jawa Tengah,,,,weather,Weather,hourly,hourly,30,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501239,-6.950000002,111.4167,111.4167 -6.950000002,land,,1,Blora,Jawa Tengah,,,,weather,Weather,hourly,hourly,36,2.02403E+11,,4,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501239,-6.950000002,111.4167,111.4167 -6.950000002,land,,1,Blora,Jawa Tengah,,,,weather,Weather,hourly,hourly,42,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501239,-6.950000002,111.4167,111.4167 -6.950000002,land,,1,Blora,Jawa Tengah,,,,weather,Weather,hourly,hourly,48,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501239,-6.950000002,111.4167,111.4167 -6.950000002,land,,1,Blora,Jawa Tengah,,,,weather,Weather,hourly,hourly,54,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501239,-6.950000002,111.4167,111.4167 -6.950000002,land,,1,Blora,Jawa Tengah,,,,weather,Weather,hourly,hourly,60,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501239,-6.950000002,111.4167,111.4167 -6.950000002,land,,1,Blora,Jawa Tengah,,,,weather,Weather,hourly,hourly,66,2.02403E+11,,60,icon
